t	x
150.1	0.0
150.2	5.13
150.3	10.26
150.4	15.39
150.5	20.52
150.6	25.65
150.7	30.78
150.8	35.91
150.9	41.04
151.0	46.17
151.1	51.3
151.2	56.43
151.3	61.56
151.4	66.69
151.5	71.82
151.6	76.95
151.7	82.08
151.8	87.21
151.9	92.34
152.0	97.47
152.1	102.6
152.2	107.73
152.3	112.86
152.4	117.99
152.5	123.12
152.6	128.25
152.7	133.38
152.8	138.51
152.9	143.64
153.0	148.77
153.1	153.9
153.2	159.03
153.3	164.16
153.4	169.29
153.5	174.42
153.6	179.55
153.7	184.68
153.8	189.81
153.9	194.94
154.0	200.07
154.1	205.2
154.2	210.33
154.3	215.46
154.4	220.59
154.5	225.72
154.6	230.85
154.7	235.98
154.8	241.11
154.9	246.24
155.0	251.37
155.1	256.5
155.2	261.63
155.3	266.76
155.4	271.89
155.5	277.02
155.6	282.15
155.7	287.28
155.8	292.41
155.9	297.54
156.0	302.67
156.1	307.8
156.2	312.93
156.3	318.06
156.4	323.19
156.5	328.32
156.6	333.45
156.7	338.58
156.8	343.71
156.9	348.84
157.0	353.97
157.1	359.1
157.2	364.23
157.3	369.36
157.4	374.49
157.5	379.62
157.6	384.75
157.7	389.88
157.8	395.01
157.9	400.14
158.0	405.27
158.1	410.4
158.2	415.53
158.3	420.66
158.4	425.79
158.5	430.92
158.6	436.05
158.7	441.18
158.8	446.31
158.9	451.44
159.0	456.57
159.1	461.7
159.2	466.83
159.3	471.96
159.4	477.09
159.5	482.22
159.6	487.35
159.7	492.48
159.8	497.61
159.9	502.74
160.0	507.87
160.1	513.0
160.2	518.13
160.3	523.26
160.4	528.39
160.5	533.52
160.6	538.65
160.7	543.78
160.8	548.91
160.9	554.04
161.0	559.17
161.1	564.3
161.2	569.43
161.3	574.56
161.4	579.69
161.5	584.82
161.6	589.95
161.7	595.08
161.8	600.21
161.9	605.34
162.0	610.47
162.1	615.6
162.2	620.73
162.3	625.86
162.4	630.99
162.5	636.12
162.6	641.25
162.7	646.38
162.8	651.51
162.9	656.64
163.0	661.77
163.1	666.9
163.2	672.03
