t	x
420.3	0.0
420.4	5.13
420.5	10.26
420.6	15.39
420.7	20.52
420.8	25.65
420.9	30.78
421.0	35.91
421.1	41.04
421.2	46.17
421.3	51.3
421.4	56.43
421.5	61.56
421.6	66.69
421.7	71.82
421.8	76.95
421.9	82.08
422.0	87.21
422.1	92.34
422.2	97.47
422.3	102.6
422.4	107.73
422.5	112.86
422.6	117.99
422.7	123.12
422.8	128.25
422.9	133.38
423.0	138.51
423.1	143.64
423.2	148.77
423.3	153.9
423.4	159.03
423.5	164.16
423.6	169.29
423.7	174.42
423.8	179.55
423.9	184.68
424.0	189.81
424.1	194.94
424.2	200.07
424.3	205.2
424.4	210.33
424.5	215.46
424.6	220.59
424.7	225.72
424.8	230.85
424.9	235.98
425.0	241.11
425.1	246.24
425.2	251.37
425.3	256.5
425.4	261.63
425.5	266.76
425.6	271.89
425.7	277.02
425.8	282.15
425.9	287.28
426.0	292.41
426.1	297.54
426.2	302.67
426.3	307.8
426.4	312.93
426.5	318.06
426.6	323.19
426.7	328.32
426.8	333.45
426.9	338.58
427.0	343.71
427.1	348.84
427.2	353.97
427.3	359.1
427.4	364.23
427.5	369.36
427.6	374.49
427.7	379.62
427.8	384.75
427.9	389.88
428.0	395.01
428.1	400.14
428.2	405.27
428.3	410.4
428.4	415.53
428.5	420.66
428.6	425.79
428.7	430.92
428.8	436.05
428.9	441.18
429.0	446.31
429.1	451.44
429.2	456.57
429.3	461.7
429.4	466.83
429.5	471.96
429.6	477.09
429.7	482.22
429.8	487.35
429.9	492.48
430.0	497.61
430.1	502.74
430.2	507.87
430.3	513.0
430.4	518.13
430.5	523.26
430.6	528.39
430.7	533.52
430.8	538.65
430.9	543.78
431.0	548.91
431.1	554.04
431.2	559.17
431.3	564.3
431.4	569.43
431.5	574.56
431.6	579.69
431.7	584.82
431.8	589.95
431.9	595.08
432.0	600.21
432.1	605.34
432.2	610.47
432.3	615.6
432.4	620.73
432.5	625.86
432.6	630.99
432.7	636.12
432.8	641.25
432.9	646.38
433.0	651.51
433.1	656.64
433.2	661.77
433.3	666.9
433.4	672.03
433.5	677.16
433.6	682.29
433.7	687.42
433.8	692.55
433.9	697.68
434.0	702.81
434.1	707.94
434.2	713.07
434.3	718.2
434.4	723.33
434.5	728.46
434.6	733.59
434.7	738.72
434.8	743.85
434.9	748.98
435.0	754.11
435.1	759.24
435.2	764.37
435.3	769.5
435.4	774.63
435.5	779.76
435.6	784.89
435.7	790.02
435.8	795.15
435.9	800.28
436.0	805.41
436.1	810.54
436.2	815.67
436.3	820.8
436.4	825.93
436.5	831.06
436.6	836.19
436.7	841.32
436.8	846.45
436.9	851.58
437.0	856.71
437.1	861.84
437.2	866.97
437.3	872.1
437.4	877.23
437.5	882.36
437.6	887.49
437.7	892.62
437.8	897.75
437.9	902.88
438.0	908.01
438.1	913.14
438.2	918.27
438.3	923.4
438.4	928.53
438.5	933.66
438.6	938.79
438.7	943.92
438.8	949.05
438.9	954.18
439.0	959.31
439.1	964.44
439.2	969.57
439.3	974.7
439.4	979.83
439.5	984.96
439.6	990.09
439.7	995.22
